policy,budget,outcome,no_email_rate,mens_rate,womens_rate,contact_rate,budget_feasible,incremental_value,ci_low,ci_high
all_mens,0.45,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.5,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.5,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.5,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.55,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.55,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.55,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.6,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.6,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.6,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.65,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.65,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.65,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.7,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.7,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.7,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.75,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.75,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.75,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.8,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.8,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.8,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.85,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.85,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.85,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.9,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.9,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.9,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,0.95,visit,0.0,1.0,0.0,1.0,False,0.07640625,0.063861328125,0.08861718749999999
all_mens,0.95,conversion,0.0,1.0,0.0,1.0,False,0.00703125,0.003615234375,0.010078125
all_mens,0.95,spend,0.0,1.0,0.0,1.0,False,0.8287664062500001,0.256423828125,1.5075486914062497
all_mens,1.0,visit,0.0,1.0,0.0,1.0,True,0.07640625,0.063861328125,0.08861718749999999
all_mens,1.0,conversion,0.0,1.0,0.0,1.0,True,0.00703125,0.003615234375,0.010078125
all_mens,1.0,spend,0.0,1.0,0.0,1.0,True,0.8287664062500001,0.256423828125,1.5075486914062497
all_womens,0.05,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.05,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.05,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.1,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.1,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.1,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.15,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.15,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.15,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.2,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.2,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.2,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.25,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.25,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.25,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.3,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.3,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.3,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.35,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.35,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.35,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
