policy,budget,budget_feasible,contact_rate,incremental_spend_per_customer,gross_margin,email_cost,incremental_revenue,gross_profit,campaign_cost,net_profit,roi,value_per_1000,break_even_cost
propensity,0.55,True,0.55,0.22747734375000014,0.3,0.05,2911.710000000002,873.5130000000005,352.00000000000006,521.5130000000004,1.4815710227272736,40.74320312500003,0.1240785511363637
propensity,0.55,True,0.55,0.22747734375000014,0.3,0.1,2911.710000000002,873.5130000000005,704.0000000000001,169.51300000000037,0.24078551136363685,13.24320312500003,0.1240785511363637
propensity,0.55,True,0.55,0.22747734375000014,0.5,0.02,2911.710000000002,1455.855000000001,140.8,1315.055000000001,9.339879261363642,102.73867187500008,0.20679758522727285
propensity,0.55,True,0.55,0.22747734375000014,0.5,0.05,2911.710000000002,1455.855000000001,352.00000000000006,1103.855000000001,3.1359517045454566,86.23867187500008,0.20679758522727285
propensity,0.55,True,0.55,0.22747734375000014,0.5,0.1,2911.710000000002,1455.855000000001,704.0000000000001,751.8550000000008,1.0679758522727283,58.738671875000065,0.20679758522727285
propensity,0.55,True,0.55,0.22747734375000014,0.7,0.02,2911.710000000002,2038.1970000000013,140.8,1897.3970000000013,13.475830965909099,148.2341406250001,0.28951661931818196
propensity,0.55,True,0.55,0.22747734375000014,0.7,0.05,2911.710000000002,2038.1970000000013,352.00000000000006,1686.1970000000013,4.790332386363639,131.7341406250001,0.28951661931818196
propensity,0.55,True,0.55,0.22747734375000014,0.7,0.1,2911.710000000002,2038.1970000000013,704.0000000000001,1334.197000000001,1.8951661931818193,104.23414062500008,0.28951661931818196
propensity,0.6,True,0.6,0.25924453125000013,0.3,0.02,3318.3300000000017,995.4990000000005,153.6,841.8990000000005,5.481113281250003,65.77335937500004,0.12962226562500007
propensity,0.6,True,0.6,0.25924453125000013,0.3,0.05,3318.3300000000017,995.4990000000005,384.0,611.4990000000005,1.5924453125000013,47.77335937500004,0.12962226562500007
propensity,0.6,True,0.6,0.25924453125000013,0.3,0.1,3318.3300000000017,995.4990000000005,768.0,227.49900000000048,0.2962226562500006,17.773359375000037,0.12962226562500007
propensity,0.6,True,0.6,0.25924453125000013,0.5,0.02,3318.3300000000017,1659.1650000000009,153.6,1505.565000000001,9.801855468750007,117.62226562500007,0.21603710937500012
propensity,0.6,True,0.6,0.25924453125000013,0.5,0.05,3318.3300000000017,1659.1650000000009,384.0,1275.1650000000009,3.3207421875000023,99.62226562500007,0.21603710937500012
propensity,0.6,True,0.6,0.25924453125000013,0.5,0.1,3318.3300000000017,1659.1650000000009,768.0,891.1650000000009,1.1603710937500011,69.62226562500007,0.21603710937500012
propensity,0.6,True,0.6,0.25924453125000013,0.7,0.02,3318.3300000000017,2322.831000000001,153.6,2169.231000000001,14.122597656250008,169.47117187500007,0.3024519531250002
propensity,0.6,True,0.6,0.25924453125000013,0.7,0.05,3318.3300000000017,2322.831000000001,384.0,1938.831000000001,5.049039062500003,151.4711718750001,0.3024519531250002
propensity,0.6,True,0.6,0.25924453125000013,0.7,0.1,3318.3300000000017,2322.831000000001,768.0,1554.831000000001,2.0245195312500015,121.47117187500008,0.3024519531250002
propensity,0.65,True,0.65,0.2557300781250001,0.3,0.02,3273.345000000001,982.0035000000003,166.4,815.6035000000003,4.9014633413461555,63.71902343750002,0.11802926682692311
propensity,0.65,True,0.65,0.2557300781250001,0.3,0.05,3273.345000000001,982.0035000000003,416.0,566.0035000000003,1.3605853365384621,44.21902343750002,0.11802926682692311
propensity,0.65,True,0.65,0.2557300781250001,0.3,0.1,3273.345000000001,982.0035000000003,832.0,150.00350000000026,0.18029266826923107,11.71902343750002,0.11802926682692311
propensity,0.65,True,0.65,0.2557300781250001,0.5,0.02,3273.345000000001,1636.6725000000006,166.4,1470.2725000000005,8.835772235576925,114.86503906250003,0.19671544471153854
propensity,0.65,True,0.65,0.2557300781250001,0.5,0.05,3273.345000000001,1636.6725000000006,416.0,1220.6725000000006,2.9343088942307705,95.36503906250005,0.19671544471153854
propensity,0.65,True,0.65,0.2557300781250001,0.5,0.1,3273.345000000001,1636.6725000000006,832.0,804.6725000000006,0.9671544471153853,62.865039062500045,0.19671544471153854
propensity,0.65,True,0.65,0.2557300781250001,0.7,0.02,3273.345000000001,2291.3415000000005,166.4,2124.9415000000004,12.770081129807695,166.0110546875,0.2754016225961539
propensity,0.65,True,0.65,0.2557300781250001,0.7,0.05,3273.345000000001,2291.3415000000005,416.0,1875.3415000000005,4.508032451923078,146.51105468750004,0.2754016225961539
propensity,0.65,True,0.65,0.2557300781250001,0.7,0.1,3273.345000000001,2291.3415000000005,832.0,1459.3415000000005,1.754016225961539,114.01105468750004,0.2754016225961539
propensity,0.7,True,0.7,0.3451382812500002,0.3,0.02,4417.770000000002,1325.3310000000006,179.2,1146.1310000000005,6.395820312500003,89.54148437500004,0.14791640625000008
propensity,0.7,True,0.7,0.3451382812500002,0.3,0.05,4417.770000000002,1325.3310000000006,447.99999999999994,877.3310000000006,1.9583281250000015,68.54148437500004,0.14791640625000008
propensity,0.7,True,0.7,0.3451382812500002,0.3,0.1,4417.770000000002,1325.3310000000006,895.9999999999999,429.3310000000007,0.4791640625000008,33.54148437500005,0.14791640625000008
propensity,0.7,True,0.7,0.3451382812500002,0.5,0.02,4417.770000000002,2208.885000000001,179.2,2029.685000000001,11.326367187500006,158.56914062500007,0.24652734375000016
propensity,0.7,True,0.7,0.3451382812500002,0.5,0.05,4417.770000000002,2208.885000000001,447.99999999999994,1760.8850000000011,3.930546875000003,137.56914062500007,0.24652734375000016
propensity,0.7,True,0.7,0.3451382812500002,0.5,0.1,4417.770000000002,2208.885000000001,895.9999999999999,1312.8850000000011,1.4652734375000014,102.56914062500009,0.24652734375000016
propensity,0.7,True,0.7,0.3451382812500002,0.7,0.02,4417.770000000002,3092.439000000001,179.2,2913.2390000000014,16.25691406250001,227.5967968750001,0.3451382812500002
propensity,0.7,True,0.7,0.3451382812500002,0.7,0.05,4417.770000000002,3092.439000000001,447.99999999999994,2644.439000000001,5.902765625000003,206.5967968750001,0.3451382812500002
propensity,0.7,True,0.7,0.3451382812500002,0.7,0.1,4417.770000000002,3092.439000000001,895.9999999999999,2196.439000000001,2.4513828125000017,171.5967968750001,0.3451382812500002
propensity,0.75,True,0.75,0.38258789062500015,0.3,0.02,4897.125000000002,1469.1375000000005,192.0,1277.1375000000005,6.651757812500002,99.77636718750003,0.15303515625000005
propensity,0.75,True,0.75,0.38258789062500015,0.3,0.05,4897.125000000002,1469.1375000000005,480.00000000000006,989.1375000000005,2.0607031250000007,77.27636718750004,0.15303515625000005
propensity,0.75,True,0.75,0.38258789062500015,0.3,0.1,4897.125000000002,1469.1375000000005,960.0000000000001,509.1375000000004,0.5303515625000004,39.77636718750003,0.15303515625000005
propensity,0.75,True,0.75,0.38258789062500015,0.5,0.02,4897.125000000002,2448.562500000001,192.0,2256.562500000001,11.752929687500005,176.29394531250006,0.2550585937500001
propensity,0.75,True,0.75,0.38258789062500015,0.5,0.05,4897.125000000002,2448.562500000001,480.00000000000006,1968.562500000001,4.101171875000001,153.79394531250006,0.2550585937500001
propensity,0.75,True,0.75,0.38258789062500015,0.5,0.1,4897.125000000002,2448.562500000001,960.0000000000001,1488.562500000001,1.5505859375000008,116.29394531250007,0.2550585937500001
propensity,0.75,True,0.75,0.38258789062500015,0.7,0.02,4897.125000000002,3427.987500000001,192.0,3235.987500000001,16.854101562500006,252.81152343750009,0.3570820312500001
propensity,0.75,True,0.75,0.38258789062500015,0.7,0.05,4897.125000000002,3427.987500000001,480.00000000000006,2947.987500000001,6.141640625000002,230.31152343750009,0.3570820312500001
propensity,0.75,True,0.75,0.38258789062500015,0.7,0.1,4897.125000000002,3427.987500000001,960.0000000000001,2467.987500000001,2.570820312500001,192.81152343750009,0.3570820312500001
propensity,0.8,True,0.8,0.45016054687500007,0.3,0.02,5762.055000000001,1728.6165000000003,204.8,1523.8165000000004,7.440510253906251,119.04816406250004,0.168810205078125
propensity,0.8,True,0.8,0.45016054687500007,0.3,0.05,5762.055000000001,1728.6165000000003,512.0000000000001,1216.6165,2.3762041015624997,95.0481640625,0.168810205078125
