policy,budget,outcome,contact_rate,contacts,budget_feasible,incremental_value,ci_low,ci_high,delta_vs_propensity,delta_ci_low,delta_ci_high
uplift_tree,0.3,visit,0.3,3840,True,0.02109375,0.014756835937500006,0.028362304687500006,-0.005156250000000005,-0.013391601562500003,0.006339843749999993
uplift_tree,0.3,spend,0.3,3840,True,0.11745468750000003,-0.061398281249999964,0.29770403320312505,-0.12282070312500006,-0.43769009765624994,0.19805748046874988
uplift_tree,0.35,visit,0.35,4480,True,0.025312500000000005,0.01862695312500001,0.032000976562500005,-0.004921875000000003,-0.012896484375000003,0.004939453125000003
uplift_tree,0.35,spend,0.35,4480,True,0.15751640625,-0.026595087890625,0.334814150390625,-0.12200625000000012,-0.44392511718749994,0.18115385742187498
uplift_tree,0.4,visit,0.4,5120,True,0.027539062500000003,0.019913085937500012,0.03597949218750001,-0.004453125000000009,-0.012673828125000005,0.005879882812499997
uplift_tree,0.4,spend,0.4,5120,True,0.18131835937500004,-0.0017037304687499604,0.35640102539062507,-0.18719414062500003,-0.499021845703125,0.16380565429687496
uplift_tree,0.45,visit,0.45,5760,True,0.031640625,0.023654296875000008,0.03972656250000001,-0.003164062500000009,-0.011493164062500012,0.006345703124999998
uplift_tree,0.45,spend,0.45,5760,True,0.24408046875000003,0.015500449218750054,0.4520866992187503,-0.0846972656250001,-0.45707452148437505,0.303625693359375
uplift_tree,0.5,visit,0.5,6400,True,0.036796875,0.027536132812500017,0.04500585937500001,0.0014062499999999908,-0.00668554687500001,0.010781249999999989
uplift_tree,0.5,spend,0.5,6400,True,0.32506875,0.09625713867187503,0.5215206152343753,-0.08296523437500003,-0.4516551562499999,0.24511646484375016
uplift_tree,0.55,visit,0.55,7040,True,0.0371484375,0.026950195312500022,0.04606347656250001,-0.0016406250000000067,-0.009732421874999998,0.0071513671875
uplift_tree,0.55,spend,0.55,7040,True,0.47658984375,0.22141461914062507,0.7631920019531251,0.24911249999999988,-0.11052670898437492,0.6574799707031252
uplift_tree,0.6,visit,0.6,7680,True,0.0378515625,0.027298828125000025,0.047460937500000015,-0.0028125000000000025,-0.010898437499999997,0.0061054687500000085
uplift_tree,0.6,spend,0.6,7680,True,0.49017187500000003,0.21174134765625,0.7845042773437502,0.2309273437499999,-0.11506907226562502,0.7019731347656251
uplift_tree,0.65,visit,0.65,8320,True,0.04125,0.029411132812500018,0.05063378906250002,-0.002929687500000007,-0.011255859374999996,0.005642578125000002
uplift_tree,0.65,spend,0.65,8320,True,0.5250363281250001,0.20637568359374994,0.8907921386718752,0.26930625,-0.09818291015625008,0.6971937890625003
uplift_tree,0.7,visit,0.7,8960,True,0.0427734375,0.02987402343750002,0.05344335937500002,-0.006093750000000009,-0.013713867187499996,0.0016494140625000083
uplift_tree,0.7,spend,0.7,8960,True,0.5709152343750001,0.21727157226562502,0.9343507910156251,0.22577695312499996,-0.15596496093750026,0.6480095800781251
uplift_tree,0.75,visit,0.75,9600,True,0.0455859375,0.033375000000000016,0.056613281250000015,-0.004804687500000002,-0.011484374999999998,0.003049804687500005
uplift_tree,0.75,spend,0.75,9600,True,0.6608906250000001,0.3163287890625001,1.0386265136718749,0.2783027343749999,-0.07730059570312492,0.7962719824218748
uplift_tree,0.8,visit,0.8,10240,True,0.046875,0.034863281250000024,0.05859667968750002,-0.005273437499999999,-0.011953125000000009,0.0013007812499999962
uplift_tree,0.8,spend,0.8,10240,True,0.6952957031250002,0.366021240234375,1.0871359863281251,0.24513515625000015,-0.07833084960937518,0.6979055273437499
uplift_tree,0.85,visit,0.85,10880,True,0.050859375,0.03817382812500002,0.06187792968750002,-0.0035156250000000083,-0.008909179687499998,0.002932617187499994
uplift_tree,0.85,spend,0.85,10880,True,0.6099082031250002,0.17606874023437508,1.0350937500000004,0.13255898437500013,-0.13788606445312504,0.492038876953125
uplift_tree,0.9,visit,0.9,11520,True,0.0535546875,0.04183300781250002,0.06391406250000005,-0.002226562500000008,-0.006799804687500015,0.003404296874999978
uplift_tree,0.9,spend,0.9,11520,True,0.6683847656250002,0.2933245019531251,1.09363705078125,0.16647773437500002,-0.06002393554687484,0.4940080371093751
uplift_tree,0.95,visit,0.95,12160,True,0.0598828125,0.046157226562500035,0.07103613281250001,0.0018749999999999947,-0.0017607421874999976,0.00574511718749999
uplift_tree,0.95,spend,0.95,12160,True,0.7119773437500001,0.28288048828125006,1.1866308398437504,0.14093906249999988,-0.026804794921875062,0.330873486328125
uplift_tree,1.0,visit,1.0,12800,True,0.06093750000000002,0.04697753906250003,0.07277636718750002,0.0,0.0,0.0
uplift_tree,1.0,spend,1.0,12800,True,0.6710414062500001,0.20026045898437533,1.234722099609375,0.0,0.0,0.0
x_tree,0.05,visit,0.05,640,True,0.0071484375,0.003747070312500002,0.010321289062500003,0.003984374999999999,0.0003486328124999987,0.008554687499999998
x_tree,0.05,spend,0.05,640,True,0.11588437500000001,-0.015165585937499984,0.23733128906250006,0.060360937499999996,-0.053293007812499994,0.21016775390625003
x_tree,0.1,visit,0.1,1280,True,0.0151171875,0.011015625000000005,0.019458984375000002,0.005742187499999999,0.0010517578124999967,0.010672851562499999
x_tree,0.1,spend,0.1,1280,True,0.151941796875,-0.057272783203124907,0.3823289062500001,0.10621406249999998,-0.14301480468749997,0.35081950195312506
x_tree,0.15,visit,0.15,1920,True,0.0191015625,0.014408203125000005,0.024846679687500005,0.004218749999999995,-0.001886718749999998,0.009735351562500001
x_tree,0.15,spend,0.15,1920,True,0.11097421875000002,-0.15979916015624984,0.34816010742187514,0.04461328125,-0.21176800781249996,0.3080588378906251
